156,117
186,113
4,22
118,133
167,159
130,157
148,151
140,151
390,271
258,142
206,108
231,147
206,123
218,154
8,15
199,149
176,142
391,269
203,155
4,20
96,130
171,185
206,138
386,273
156,185
198,202
3,21
157,167
196,168
156,179
193,171
9,19
150,102
110,124
10,25
179,102
7,22
193,170
389,271
189,199
9,25
186,153
166,109
180,159
167,109
378,257
186,193
3,19
166,115
154,72
146,54
8,21
155,70
98,56
107,204
384,268
224,67
296,69
286,217
2,23
199,157
180,158
390,263
212,173
189,149
10,23
181,75
2,9
104,131
109,157
88,165
125,146
382,261
257,129
252,155
302,176
268,133
5,28
190,139
138,87
385,283
222,149
158,89
5,14
168,125
178,118
8,19
181,116
4,22
145,150
139,212
381,263
207,211
217,202
11,28
146,87
146,87
393,272
170,168
164,171
4,17
130,163
130,163
4,22
188,163
182,116
207,182
188,111
376,278
235,177
11,15
126,109
125,125
101,111
137,117
7,10
169,46
164,50
4,25
177,91
8,14
115,120
132,135
115,121
127,131
9,25
148,81
175,135
4,21
76,147
127,152
113,150
388,269
290,146
250,153
275,149
3,20
131,174
181,139
126,194
175,144
124,193
170,162
376,261
231,157
208,144
248,166
230,153
239,160
191,156
10,19
154,56
154,56
10,24
199,129
191,109
5,19
185,133
86,36
4,24
174,136
2,21
175,127
184,145
4,24
232,174
8,22
121,127
1,18
180,137
154,127
181,134
9,18
165,115
178,126
132,139
376,262
213,158
7,15
189,129
163,114
9,29
119,130
106,150
6,11
160,64
140,51
2,7
143,164
171,163
149,165
168,161
378,265
194,175
191,175
175,175
12,29
156,122
171,165
162,139
177,160
383,264
187,139
7,26
167,80
148,205
5,23
84,166
112,156
69,142
87,169
87,143
380,257
251,168
254,165
256,171
226,158
7,25
192,170
160,151
382,286
249,179
270,162
6,9
204,132
162,137
7,23
145,201
156,195
140,196
382,275
244,188
183,188
206,187
7,25
160,61
111,57
388,268
238,49
293,49
7,32
204,174
193,145
380,266
209,161
214,149
204,155
7,21
147,191
159,209
158,181
180,223
388,261
312,153
6,27
203,85
208,126
216,129
388,282
250,165
1,5
150,141
138,165
149,134
144,192
386,263
253,137
264,155
233,174
230,193
4,23
196,81
146,81
156,189
7,29
181,90
4,11
188,98
217,103
201,109
11,8
111,87
137,102
111,93
11,12
185,99
130,108
366,266
196,110
268,111
7,26
222,115
253,145
207,129
392,266
227,143
252,121
222,148
15,15
153,98
152,99
153,101
374,271
191,104
191,106
182,106
10,9
240,130
229,141
202,173
244,139
4,8
147,174
184,179
172,170
200,167
378,259
241,199
255,205
248,202
286,221
3,21
224,121
220,180
190,127
222,117
380,265
257,131
9,27
168,104
166,155
197,97
194,153
210,151
6,27
187,109
151,75
210,159
180,138
199,160
158,141
204,172
378,267
176,180
189,189
176,177
192,189
179,167
10,29
134,190
168,172
131,186
169,165
399,272
178,148
9,24
191,119
185,123
190,120
172,123
6,20
204,189
200,167
8,25
168,95
171,102
188,113
150,153
182,173
379,266
208,135
194,145
226,131
5,25
201,104
119,106
102,111
382,268
238,118
0,21
180,101
206,117
5,10
175,146
162,131
164,154
152,201
384,260
189,161
196,159
193,160
221,217
7,20
156,144
152,150
382,247
214,138
243,175
10,21
182,82
139,47
111,79
4,21
192,129
210,118
384,262
198,154
189,162
7,27
149,110
149,239
388,269
229,129
226,237
6,25
144,108
172,151
170,111
229,171
376,260
222,165
13,29
170,156
173,156
381,263
186,188
186,188
8,18
168,91
186,91
2,17
193,109
213,134
10,25
204,113
2,29
191,165
194,164
193,154
202,179
396,268
230,180
0,28
165,138
176,147
166,148
4,20
165,187
168,186
163,176
178,200
378,271
204,143
214,137
191,143
4,24
139,242
136,239
174,237
125,237
378,267
211,240
255,237
220,247
242,253
10,22
210,179
210,164
225,189
381,256
220,183
5,29
231,159
231,138
230,169
390,260
190,174
7,24
189,99
6,19
162,128
208,140
166,143
173,139
383,265
193,163
6,27
152,189
128,186
126,184
128,184
379,258
215,193
242,205
264,199
264,199
20,15
127,163
179,179
367,270
238,187
255,182
10,16
164,131
148,131
120,179
382,261
204,129
11,37
178,105
182,95
7,20
160,157
148,148
376,269
236,144
248,149
6,21
159,156
162,155
154,159
154,160
394,278
203,161
194,159
204,159
192,145
11,21
134,81
185,106
124,159
102,161
98,141
375,259
206,150
145,181
120,153
6,27
138,235
146,237
150,232
183,230
374,265
221,235
210,235
8,28
